	カテゴリ	バス停			サブカテ	路線																																											
	path	busstop			subpath	route																																											
																																																	
																																																	
																																																	
																																																	
	共通属性																									個別属性																							
(項目名)	施設名	電話	住所	時間帯	価格	WGS84緯度	WGS84経度	定休日	駐車場	サムネ画像	ホームページ															id	seq	バスタイプ	バス会社	路線																			
(キー)	name	tel	address	open	fee	lat	lng	closingday	parking	thumbnail	homepage															id	sql	bustype	company	route																			
(属性型)	text	text	text	times	text	degree	degree	text	text	url	url															text	text	text	text	text																			
	佐伯駅			message=,stime=0:00,etime=0:108		32.97288303	131.9023706			small_busstop.jpg																n19	10	1	大分バス（株）	佐伯駅～鶴見～鮪浦（シビウラ）～広浦～梶寄線																			
	佐伯駅			message=,stime=0:00,etime=0:109		32.97288303	131.9023706			small_busstop.jpg																n19	11	1	大分バス（株）	佐伯駅～畑の浦～尾浦・西の浦～蒲江～丸市尾～波当津線																			
	佐伯駅			message=,stime=0:00,etime=0:110		32.97288303	131.9023706			small_busstop.jpg																n19	12	1	大分バス（株）	大手前～浪太（ナブト）～長田～蒲戸（カマド）～大浜入口																			
	佐伯駅			message=,stime=0:00,etime=0:111		32.97288303	131.9023706			small_busstop.jpg																n19	13	1	大分バス（株）	大分～野津町～風連（フウレン）鍾乳洞～佐伯線																			
	佐伯駅			message=,stime=0:00,etime=0:112		32.97288303	131.9023706			small_busstop.jpg																n19	14	1	大分交通（株）	大分空港・佐伯臼杵																			
	佐伯駅			message=,stime=0:00,etime=0:113		32.97288303	131.9023706			small_busstop.jpg																n19	15	1	大分バス（株）	葛港～坂の浦																			
	佐伯駅			message=,stime=0:00,etime=0:114		32.97288303	131.9023706			small_busstop.jpg																n19	16	1	大分バス（株）	葛港～上津川																			
	佐伯駅			message=,stime=0:00,etime=0:115		32.97288303	131.9023706			small_busstop.jpg																n19	17	1	大分バス（株）	大分～佐伯駅																			
	佐伯駅			message=,stime=0:00,etime=0:116		32.97288303	131.9023706			small_busstop.jpg																n19	18	1	大分バス（株）	大分佐伯線（急行）																			
	佐伯駅			message=,stime=0:00,etime=0:117		32.97288303	131.9023706			small_busstop.jpg																n19	19	1	大分バス（株）	佐伯駅～梶寄																			
	佐伯駅			message=,stime=0:00,etime=0:118		32.97288303	131.9023706			small_busstop.jpg																n19	20	1	大分バス（株）	佐伯駅～久保																			
	佐伯駅			message=,stime=0:00,etime=0:119		32.97288303	131.9023706			small_busstop.jpg																n19	21	1	大分バス（株）	佐伯駅～小浦・宮の浦																			
	佐伯駅			message=,stime=0:00,etime=0:120		32.97288303	131.9023706			small_busstop.jpg																n19	22	1	大分バス（株）	佐伯駅～大分空港																			
	佐伯駅			message=,stime=0:00,etime=0:121		32.97288303	131.9023706			small_busstop.jpg																n19	23	1	大分バス（株）	佐伯駅～波当津（青山経由）																			
	佐伯駅			message=,stime=0:00,etime=0:122		32.97288303	131.9023706			small_busstop.jpg																n19	24	1	大分バス（株）	佐伯駅～波当津（尾浦・西の浦経由）																			
	佐伯駅			message=,stime=0:00,etime=0:123		32.97288303	131.9023706			small_busstop.jpg																n19	25	1	大分バス（株）	佐伯駅～野津南																			
	佐伯駅			message=,stime=0:00,etime=0:124		32.97288303	131.9023706			small_busstop.jpg																n19	26	1	大分バス（株）	大手前～大浜入口																			
	市役所前			message=,stime=0:00,etime=0:125		33.32091583	130.9405185			small_busstop.jpg																n20	1	1	西日本鉄道（株）	福岡･福岡空港～日田（ひた号・福岡空港経由）																			
	市役所前			message=,stime=0:00,etime=0:126		33.32091583	130.9405185			small_busstop.jpg																n20	2	1	西日本鉄道（株）	福岡空港～日田（ひた号・福岡空港通過）																			
	城内豆田入口			message=,stime=0:00,etime=0:127		33.32525513	130.9412254			small_busstop.jpg																n21	1	1	西日本鉄道（株）	福岡･福岡空港～日田（ひた号・福岡空港経由）																			
	城内豆田入口			message=,stime=0:00,etime=0:128		33.32525513	130.9412254			small_busstop.jpg																n21	2	1	西日本鉄道（株）	福岡空港～日田（ひた号・福岡空港通過）																			
	新博多町			message=,stime=0:00,etime=0:129		33.60192427	131.1869046			small_busstop.jpg																n22	1	3	吉富町	築上東部乗合タクシー																			
	大分（トキハ前・フォーラス前）			message=,stime=0:00,etime=0:130		33.23606562	131.6074797			small_busstop.jpg																n23	1	1	西鉄バス北九州（株）	高速北九州-別府・大分																			
	大分（トキハ前・フォーラス前）			message=,stime=0:00,etime=0:131		33.23606562	131.6074797			small_busstop.jpg																n23	2	1	亀の井バス（株）	大分別府・北九州																			
	大分（トキハ前・フォーラス前）			message=,stime=0:00,etime=0:132		33.23606562	131.6074797			small_busstop.jpg																n23	3	1	大分バス（株）	大分別府・長崎（スーパーノンストップ）																			
	大分（トキハ前・フォーラス前）			message=,stime=0:00,etime=0:133		33.23606562	131.6074797			small_busstop.jpg																n23	4	1	大分バス（株）	大分別府・長崎（ノンストップ）																			
	大分（トキハ前・フォーラス前）			message=,stime=0:00,etime=0:134		33.23606562	131.6074797			small_busstop.jpg																n23	5	1	大分バス（株）	大分別府・長崎（各停）																			
	大分（トキハ前・フォーラス前）			message=,stime=0:00,etime=0:135		33.23606562	131.6074797			small_busstop.jpg																n23	6	1	亀の井バス（株）	長崎～大分・別府（サンライト号スーパーノンストップ）																			
	大分（トキハ前・フォーラス前）			message=,stime=0:00,etime=0:136		33.23606562	131.6074797			small_busstop.jpg																n23	7	1	亀の井バス（株）	長崎～大分・別府（サンライト号ノンストップ）																			
	大分（トキハ前・フォーラス前）			message=,stime=0:00,etime=0:137		33.23606562	131.6074797			small_busstop.jpg																n23	8	1	亀の井バス（株）	長崎～大分・別府（サンライト号）																			
	大分（トキハ前・フォーラス前）			message=,stime=0:00,etime=0:138		33.23606562	131.6074797			small_busstop.jpg																n23	9	1	大分交通（株）	大分別府・長崎（スーパーノンストップ）																			
	大分（トキハ前・フォーラス前）			message=,stime=0:00,etime=0:139		33.23606562	131.6074797			small_busstop.jpg																n23	10	1	大分交通（株）	大分別府・長崎（ノンストップ）																			
	大分（トキハ前・フォーラス前）			message=,stime=0:00,etime=0:140		33.23606562	131.6074797			small_busstop.jpg																n23	11	1	大分交通（株）	福岡～大分線（スーパーノンストップ）																			
	大分（トキハ前・フォーラス前）			message=,stime=0:00,etime=0:141		33.23606562	131.6074797			small_busstop.jpg																n23	12	1	大分バス（株）	大分・別府～福岡(スーパーノンストップ)																			
	大分（トキハ前・フォーラス前）			message=,stime=0:00,etime=0:142		33.23606562	131.6074797			small_busstop.jpg																n23	13	1	大分バス（株）	大分・別府～福岡(各停)																			
	大分新川			message=,stime=0:00,etime=0:143		33.24561965	131.6063165			small_busstop.jpg																n24	1	1	西鉄バス北九州（株）	高速北九州-別府・大分																			
	大分新川			message=,stime=0:00,etime=0:144		33.24561965	131.6063165			small_busstop.jpg																n24	2	1	西鉄観光バス（株）	福岡～大分（スーパーノンストップ）																			
	大分新川			message=,stime=0:00,etime=0:145		33.24561965	131.6063165			small_busstop.jpg																n24	3	1	大分交通（株）	大分別府・長崎																			
	大分新川			message=,stime=0:00,etime=0:146		33.24561965	131.6063165			small_busstop.jpg																n24	4	1	大分交通（株）	大分別府・北九州																			
	大分新川			message=,stime=0:00,etime=0:147		33.24561965	131.6063165			small_busstop.jpg																n24	5	2	長崎県	長崎～大分・別府（サンライト号）																			
	大分新川			message=,stime=0:00,etime=0:148		33.24561965	131.6063165			small_busstop.jpg																n24	6	1	西鉄観光バス（株）	福岡・福岡空港　～　別府・大分																			
	大分新川			message=,stime=0:00,etime=0:149		33.24561965	131.6063165			small_busstop.jpg																n24	7	2	長崎県	長崎～大分・別府（サンライト号ノンストップ）																			
	大分新川			message=,stime=0:00,etime=0:150		33.24561965	131.6063165			small_busstop.jpg																n24	8	2	長崎県	長崎～大分・別府（サンライト号スーパーノンストップ）																			
	大分新川			message=,stime=0:00,etime=0:151		33.24561965	131.6063165			small_busstop.jpg																n24	9	1	長崎自動車（株）	長崎～大分・別府（サンライト号）																			
	大分新川			message=,stime=0:00,etime=0:152		33.24561965	131.6063165			small_busstop.jpg																n24	10	1	長崎自動車（株）	長崎～大分・別府（サンライト号ノンストップ）																			
	大分新川			message=,stime=0:00,etime=0:153		33.24561965	131.6063165			small_busstop.jpg																n24	11	1	長崎自動車（株）	長崎～大分・別府（サンライト号スーパーノンストップ）																			
	大分新川			message=,stime=0:00,etime=0:154		33.24561965	131.6063165			small_busstop.jpg																n24	12	1	大分バス（株）	大分・別府～福岡(スーパーノンストップ)																			
	大分新川			message=,stime=0:00,etime=0:155		33.24561965	131.6063165			small_busstop.jpg																n24	13	1	大分バス（株）	大分・別府～福岡(各停)																			
	大分新川			message=,stime=0:00,etime=0:156		33.24561965	131.6063165			small_busstop.jpg																n24	14	1	亀の井バス（株）	大分別府・北九州																			
	大分新川			message=,stime=0:00,etime=0:157		33.24561965	131.6063165			small_busstop.jpg																n24	15	1	大分バス（株）	大分別府・長崎（スーパーノンストップ）																			
	大分新川			message=,stime=0:00,etime=0:158		33.24561965	131.6063165			small_busstop.jpg																n24	16	1	大分バス（株）	大分別府・長崎（ノンストップ）																			
	大分新川			message=,stime=0:00,etime=0:159		33.24561965	131.6063165			small_busstop.jpg																n24	17	1	大分バス（株）	大分別府・長崎（各停）																			
	大分新川			message=,stime=0:00,etime=0:160		33.24561965	131.6063165			small_busstop.jpg																n24	18	1	亀の井バス（株）	長崎～大分・別府（サンライト号スーパーノンストップ）																			
	大分新川			message=,stime=0:00,etime=0:161		33.24561965	131.6063165			small_busstop.jpg																n24	19	1	亀の井バス（株）	長崎～大分・別府（サンライト号ノンストップ）																			
